Index	Name	Type	Nullable	References	Description
-2	oid	oid	false		"row identifier (hidden attribute; must be explicitly selected)"
1	amname	name	false		"name of the access method"
2	amstrategies	smallint	false		<undocumented>
3	amsupport	smallint	false		<undocumented>
4	amcanorder	boolean	false		<undocumented>
5	amcanorderbyop	boolean	false		<undocumented>
6	amcanbackward	boolean	false		<undocumented>
7	amcanunique	boolean	false		<undocumented>
8	amcanmulticol	boolean	false		<undocumented>
9	amoptionalkey	boolean	false		<undocumented>
10	amsearcharray	boolean	false		<undocumented>
11	amsearchnulls	boolean	false		<undocumented>
12	amstorage	boolean	false		<undocumented>
13	amclusterable	boolean	false		<undocumented>
14	ampredlocks	boolean	false		<undocumented>
15	amkeytype	oid	false		<undocumented>
16	aminsert	regproc	false		<undocumented>
17	ambeginscan	regproc	false		<undocumented>
18	amgettuple	regproc	false		<undocumented>
19	amgetbitmap	regproc	false		<undocumented>
20	amrescan	regproc	false		<undocumented>
21	amendscan	regproc	false		<undocumented>
22	ammarkpos	regproc	false		<undocumented>
23	amrestrpos	regproc	false		<undocumented>
24	ambuild	regproc	false		<undocumented>
25	ambuildempty	regproc	false		<undocumented>
26	ambulkdelete	regproc	false		<undocumented>
27	amvacuumcleanup	regproc	false		<undocumented>
28	amcanreturn	regproc	false		<undocumented>
29	amcostestimate	regproc	false		<undocumented>
30	amoptions	regproc	false		<undocumented>
2	amhandler	regproc			"oid of a handler function that is responsible for supplying information about the access method"
3	amtype	char			"currently always i to indicate an index access method; other values may be allowed in future"
