Index	Name	Type	Nullable	References	Description
0	oid	OID			"row identifier (hidden attribute; must be explicitly selected)"
1	oprname	NAME			"name of the operator"
2	oprnamespace	OID		pg_namespace.oid	"the oid of the namespace that contains this operator"
3	oprowner	OID		pg_authid.oid	"owner of the operator"
4	oprkind	CHAR			"b = infix (“both”), l = prefix (“left”), r = postfix (“right”)"
5	oprcanmerge	BOOL			"this operator supports merge joins"
6	oprcanhash	BOOL			"this operator supports hash joins"
7	oprleft	OID		pg_type.oid	"type of the left operand"
8	oprright	OID		pg_type.oid	"type of the right operand"
9	oprresult	OID		pg_type.oid	"type of the result"
10	oprcom	OID		pg_operator.oid	"commutator of this operator, if any"
11	oprnegate	OID		pg_operator.oid	"negator of this operator, if any"
12	oprcode	REGPROC		pg_proc.oid	"function that implements this operator"
13	oprrest	REGPROC		pg_proc.oid	"restriction selectivity estimation function for this operator"
14	oprjoin	REGPROC		pg_proc.oid	"join selectivity estimation function for this operator"
