Name	Type	Description
oid	oid	Row identifier (hidden attribute; must be explicitly selected)
rolname	name	Role name
rolsuper	bool	Role has superuser privileges
rolinherit	bool	Role automatically inherits privileges of roles it is a member of
rolcreaterole	bool	Role can create more roles
rolcreatedb	bool	Role can create databases
rolcanlogin	bool	Role can log in. That is, this role can be given as the initial session authorization identifier.
rolreplication	bool	Role is a replication role. A replication role can initiate replication connections and create and drop replication slots.
rolbypassrls	bool	Role bypasses every row level security policy, see Section 5.7 for more information.
rolconnlimit	int4	For roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit.
rolpassword	text	Password (possibly encrypted); null if none. The format depends on the form of encryption used.
rolvaliduntil	timestamptz	Password expiry time (only used for password authentication); null if no expiration
