Index	Name	Type	Nullable	References	Description
1	oid	oid			"row identifier"
2	collname	name			"collation name (unique per namespace and encoding)"
3	collnamespace	oid		pg_namespace.oid	"the oid of the namespace that contains this collation"
4	collowner	oid		pg_authid.oid	"owner of the collation"
5	collprovider	char			"provider of the collation: d = database default, c = libc, i = icu"
6	collisdeterministic	bool			"is the collation deterministic?"
7	collencoding	int4			"encoding in which the collation is applicable, or -1 if it works for any encoding"
8	collcollate	name			"lc_collate for this collation object"
9	collctype	name			"lc_ctype for this collation object"
10	collversion	text			"provider-specific version of the collation. this is recorded when the collation is created and then checked when it is used, to detect changes in the collation definition that could lead to data corruption."
