0	oid	OID			"row identifier"
1	rolname	NAME			"role name"
2	rolsuper	BOOL			"role has superuser privileges"
3	rolinherit	BOOL			"role automatically inherits privileges of roles it is a member of"
4	rolcreaterole	BOOL			"role can create more roles"
5	rolcreatedb	BOOL			"role can create databases"
6	rolcanlogin	BOOL			"role can log in. that is, this role can be given as the initial session authorization identifier."
7	rolreplication	BOOL			"role is a replication role. a replication role can initiate replication connections and create and drop replication slots."
8	rolbypassrls	BOOL			"role bypasses every row level security policy, see section 5.8 for more information."
9	rolconnlimit	INT4			"for roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit."
10	rolpassword	TEXT			"password (possibly encrypted); null if none. the format depends on the form of encryption used."
11	rolvaliduntil	TIMESTAMPTZ			"password expiry time (only used for password authentication); null if no expiration"
