0	oid	OID			"row identifier"
1	oprname	NAME			"name of the operator"
2	oprnamespace	OID			"the oid of the namespace that contains this operator"
3	oprowner	OID			"owner of the operator"
4	oprkind	CHAR			"b = infix (“both”), l = prefix (“left”), r = postfix (“right”)"
5	oprcanmerge	BOOL			"this operator supports merge joins"
6	oprcanhash	BOOL			"this operator supports hash joins"
7	oprleft	OID			"type of the left operand"
8	oprright	OID			"type of the right operand"
9	oprresult	OID			"type of the result"
10	oprcom	OID			"commutator of this operator, if any"
11	oprnegate	OID			"negator of this operator, if any"
12	oprcode	REGPROC			"function that implements this operator"
13	oprrest	REGPROC			"restriction selectivity estimation function for this operator"
14	oprjoin	REGPROC			"join selectivity estimation function for this operator"
