Name	Type	References	Description
oid	oid		Row identifier
oprname	name		Name of the operator
oprnamespace	oid	pg_operator.[object Object]	The OID of the namespace that contains this operator
oprowner	oid	pg_operator.[object Object]	Owner of the operator
oprkind	char		b = infix (“both”), l = prefix (“left”), r = postfix (“right”)
oprcanmerge	bool		This operator supports merge joins
oprcanhash	bool		This operator supports hash joins
oprleft	oid	pg_operator.[object Object]	Type of the left operand
oprright	oid	pg_operator.[object Object]	Type of the right operand
oprresult	oid	pg_operator.[object Object]	Type of the result
oprcom	oid	pg_operator.[object Object]	Commutator of this operator, if any
oprnegate	oid	pg_operator.[object Object]	Negator of this operator, if any
oprcode	regproc	pg_operator.[object Object]	Function that implements this operator
oprrest	regproc	pg_operator.[object Object]	Restriction selectivity estimation function for this operator
oprjoin	regproc	pg_operator.[object Object]	Join selectivity estimation function for this operator
