Name	Type	References	Description
oid	oid		Row identifier
collname	name		Collation name (unique per namespace and encoding)
collnamespace	oid	pg_namespace.oid	The OID of the namespace that contains this collation
collowner	oid	pg_authid.oid	Owner of the collation
collprovider	char		Provider of the collation: d = database default, c = libc, i = icu
collisdeterministic	bool		Is the collation deterministic?
collencoding	int4		Encoding in which the collation is applicable, or -1 if it works for any encoding
collcollate	name		LC_COLLATE for this collation object
collctype	name		LC_CTYPE for this collation object
collversion	text		Provider-specific version of the collation. This is recorded when the collation is created and then checked when it is used, to detect changes in the collation definition that could lead to data corruption.
