Index	Name	Type	Nullable	References	Description
0	locktype	TEXT			"type of the lockable object: relation, extend, frozenid, page, tuple, transactionid, virtualxid, spectoken, object, userlock, or advisory. (see also table 27.11.)"
1	database	OID			"oid of the database in which the lock target exists, or zero if the target is a shared object, or null if the target is a transaction id"
2	relation	OID			"oid of the relation targeted by the lock, or null if the target is not a relation or part of a relation"
3	page	INT4			"page number targeted by the lock within the relation, or null if the target is not a relation page or tuple"
4	tuple	INT2			"tuple number targeted by the lock within the page, or null if the target is not a tuple"
5	virtualxid	TEXT			"virtual id of the transaction targeted by the lock, or null if the target is not a virtual transaction id"
6	transactionid	XID			"id of the transaction targeted by the lock, or null if the target is not a transaction id"
7	classid	OID			"oid of the system catalog containing the lock target, or null if the target is not a general database object"
8	objid	OID			"oid of the lock target within its system catalog, or null if the target is not a general database object"
9	objsubid	INT2			"column number targeted by the lock (the classid and objid refer to the table itself), or zero if the target is some other general database object, or null if the target is not a general database object"
10	virtualtransaction	TEXT			"virtual id of the transaction that is holding or awaiting this lock"
11	pid	INT4			"process id of the server process holding or awaiting this lock, or null if the lock is held by a prepared transaction"
12	mode	TEXT			"name of the lock mode held or desired by this process (see section 13.3.1 and section 13.2.3)"
13	granted	BOOL			"true if lock is held, false if lock is awaited"
14	fastpath	BOOL			"true if lock was taken via fast path, false if taken via main lock table"
