0	schemaname	NAME			"name of schema containing sequence"
1	sequencename	NAME			"name of sequence"
2	sequenceowner	NAME			"name of sequence's owner"
3	data_type	REGTYPE			"data type of the sequence"
4	start_value	INT8			"start value of the sequence"
5	min_value	INT8			"minimum value of the sequence"
6	max_value	INT8			"maximum value of the sequence"
7	increment_by	INT8			"increment value of the sequence"
8	cycle	BOOL			"whether the sequence cycles"
9	cache_size	INT8			"cache size of the sequence"
10	last_value	INT8			"the last sequence value written to disk. if caching is used, this value can be greater than the last value handed out from the sequence. null if the sequence has not been read from yet. also, if the current user does not have usage or select privilege on the sequence, the value is null."
