Index	Name	Type	Nullable	References	Description
1	name	text	true		"run-time configuration parameter name"
2	setting	text	true		"current value of the parameter"
3	unit	text	true		"implicit unit of the parameter"
4	category	text	true		"logical group of the parameter"
5	short_desc	text	true		"a brief description of the parameter"
6	extra_desc	text	true		"additional, more detailed, description of the parameter"
7	context	text	true		"context required to set the parameter's value (see below)"
8	vartype	text	true		"parameter type (bool, enum, integer, real, or string)"
9	source	text	true		"source of the current parameter value"
10	min_val	text	true		"minimum allowed value of the parameter (null for non-numeric values)"
11	max_val	text	true		"maximum allowed value of the parameter (null for non-numeric values)"
12	enumvals	text[]	true		"allowed values of an enum parameter (null for non-enum values)"
13	boot_val	text	true		"parameter value assumed at server startup if the parameter is not otherwise set"
14	reset_val	text	true		"value that reset would reset the parameter to in the current session"
15	sourcefile	text	true		"configuration file the current value was set in (null for values set from sources other than configuration files, or when examined by a user who is neither a superuser or a member of pg_read_all_settings); helpful when using include directives in configuration files"
16	sourceline	int4	true		"line number within the configuration file the current value was set at (null for values set from sources other than configuration files, or when examined by a user who is neither a superuser or a member of pg_read_all_settings)."
17	pending_restart	bool	true		"true if the value has been changed in the configuration file but needs a restart; or false otherwise."
