Index	Name	Type	Nullable	References	Description
1	oid	oid	false		"row identifier"
2	rolname	name	false		"role name"
3	rolsuper	bool	false		"role has superuser privileges"
4	rolinherit	bool	false		"role automatically inherits privileges of roles it is a member of"
5	rolcreaterole	bool	false		"role can create more roles"
6	rolcreatedb	bool	false		"role can create databases"
7	rolcanlogin	bool	false		"role can log in. that is, this role can be given as the initial session authorization identifier."
8	rolreplication	bool	false		"role is a replication role. a replication role can initiate replication connections and create and drop replication slots."
9	rolbypassrls	bool	false		"role bypasses every row-level security policy, see section 5.8 for more information."
10	rolconnlimit	int4	false		"for roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit."
11	rolpassword	text	true		"password (possibly encrypted); null if none. the format depends on the form of encryption used."
12	rolvaliduntil	timestamptz	true		"password expiry time (only used for password authentication); null if no expiration"
