0	oid	OID			"row identifier"
1	collname	NAME			"collation name (unique per namespace and encoding)"
2	collnamespace	OID			"the oid of the namespace that contains this collation"
3	collowner	OID			"owner of the collation"
4	collprovider	CHAR			"provider of the collation: d = database default, c = libc, i = icu"
5	collisdeterministic	BOOL			"is the collation deterministic?"
6	collencoding	INT4			"encoding in which the collation is applicable, or -1 if it works for any encoding"
7	collcollate	NAME			"lc_collate for this collation object"
8	collctype	NAME			"lc_ctype for this collation object"
9	collversion	TEXT			"provider-specific version of the collation. this is recorded when the collation is created and then checked when it is used, to detect changes in the collation definition that could lead to data corruption."
