Index	Name	Type	Nullable	References	Description
0	oid	oid			"row identifier"
1	subdbid	oid			"oid of the database that the subscription resides in"
2	subname	name			"name of the subscription"
3	subowner	oid			"owner of the subscription"
4	subenabled	bool			"if true, the subscription is enabled and should be replicating"
5	subbinary	bool			"if true, the subscription will request that the publisher send data in binary format"
6	substream	bool			"if true, the subscription will allow streaming of in-progress transactions"
7	subconninfo	text			"connection string to the upstream database"
8	subslotname	name			"name of the replication slot in the upstream database (also used for the local replication origin name); null represents none"
9	subsynccommit	text			"the synchronous_commit setting for the subscription's workers to use"
10	subpublications	text[]			"array of subscribed publication names. these reference publications defined in the upstream database. for more on publications see section 31.1."
