Index	Name	Type	Nullable	References	Description
1	oid	oid	false		"row identifier"
2	tgrelid	oid	false		"the table this trigger is on"
3	tgparentid	oid	false		"parent trigger that this trigger is cloned from (this happens when partitions are created or attached to a partitioned table); zero if not a clone"
4	tgname	name	false		"trigger name (must be unique among triggers of same table)"
5	tgfoid	oid	false		"the function to be called"
6	tgtype	int2	false		"bit mask identifying trigger firing conditions"
7	tgenabled	char	false		"controls in which session_replication_role modes the trigger fires. o = trigger fires in ""origin"" and ""local"" modes, d = trigger is disabled, r = trigger fires in ""replica"" mode, a = trigger fires always."
8	tgisinternal	bool	false		"true if trigger is internally generated (usually, to enforce the constraint identified by tgconstraint)"
9	tgconstrrelid	oid	false		"the table referenced by a referential integrity constraint (zero if trigger is not for a referential integrity constraint)"
10	tgconstrindid	oid	false		"the index supporting a unique, primary key, referential integrity, or exclusion constraint (zero if trigger is not for one of these types of constraint)"
11	tgconstraint	oid	false		"the pg_constraint entry associated with the trigger (zero if trigger is not for a constraint)"
12	tgdeferrable	bool	false		"true if constraint trigger is deferrable"
13	tginitdeferred	bool	false		"true if constraint trigger is initially deferred"
14	tgnargs	int2	false		"number of argument strings passed to trigger function"
15	tgattr	int2vector	false		"column numbers, if trigger is column-specific; otherwise an empty array"
16	tgargs	bytea	false		"argument strings to pass to trigger, each null-terminated"
17	tgqual	pg_node_tree	true		"expression tree (in nodetostring() representation) for the trigger's when condition, or null if none"
18	tgoldtable	name	true		"referencing clause name for old table, or null if none"
19	tgnewtable	name	true		"referencing clause name for new table, or null if none"
