Name	Type	References	Description
oid	oid		Row identifier
oprname	name		Name of the operator
oprnamespace	oid	pg_namespace.oid	The OID of the namespace that contains this operator
oprowner	oid	pg_authid.oid	Owner of the operator
oprkind	char		"b = infix operator (""both""), or l = prefix operator (""left"")"
oprcanmerge	bool		This operator supports merge joins
oprcanhash	bool		This operator supports hash joins
oprleft	oid	pg_type.oid	Type of the left operand (zero for a prefix operator)
oprright	oid	pg_type.oid	Type of the right operand
oprresult	oid	pg_type.oid	"Type of the result (zero for a not-yet-defined ""shell"" operator)"
oprcom	oid	pg_operator.oid	Commutator of this operator (zero if none)
oprnegate	oid	pg_operator.oid	Negator of this operator (zero if none)
oprcode	regproc	pg_proc.oid	"Function that implements this operator (zero for a not-yet-defined ""shell"" operator)"
oprrest	regproc	pg_proc.oid	Restriction selectivity estimation function for this operator (zero if none)
oprjoin	regproc	pg_proc.oid	Join selectivity estimation function for this operator (zero if none)
