Name	Type	References	Description
oid	oid		Row identifier
subdbid	oid	pg_subscription.oid	OID of the database that the subscription resides in
subname	name		Name of the subscription
subowner	oid	pg_subscription.oid	Owner of the subscription
subenabled	bool		If true, the subscription is enabled and should be replicating
subbinary	bool		If true, the subscription will request that the publisher send data in binary format
substream	bool		If true, the subscription will allow streaming of in-progress transactions
subconninfo	text		Connection string to the upstream database
subslotname	name		Name of the replication slot in the upstream database (also used for the local replication origin name); null represents NONE
subsynccommit	text		The synchronous_commit setting for the subscription's workers to use
subpublications	text[]		Array of subscribed publication names. These reference publications defined in the upstream database. For more on publications see Section 31.1.
