Index	Name	Type	Nullable	References	Description
0	locktype	text			"type of the lockable object: relation, extend, frozenid, page, tuple, transactionid, virtualxid, spectoken, object, userlock, or advisory. (see also table 28.11.)"
1	database	oid			"oid of the database in which the lock target exists, or zero if the target is a shared object, or null if the target is a transaction id"
2	relation	oid			"oid of the relation targeted by the lock, or null if the target is not a relation or part of a relation"
3	page	int4			"page number targeted by the lock within the relation, or null if the target is not a relation page or tuple"
4	tuple	int2			"tuple number targeted by the lock within the page, or null if the target is not a tuple"
5	virtualxid	text			"virtual id of the transaction targeted by the lock, or null if the target is not a virtual transaction id"
6	transactionid	xid			"id of the transaction targeted by the lock, or null if the target is not a transaction id"
7	classid	oid			"oid of the system catalog containing the lock target, or null if the target is not a general database object"
8	objid	oid			"oid of the lock target within its system catalog, or null if the target is not a general database object"
9	objsubid	int2			"column number targeted by the lock (the classid and objid refer to the table itself), or zero if the target is some other general database object, or null if the target is not a general database object"
10	virtualtransaction	text			"virtual id of the transaction that is holding or awaiting this lock"
11	pid	int4			"process id of the server process holding or awaiting this lock, or null if the lock is held by a prepared transaction"
12	mode	text			"name of the lock mode held or desired by this process (see section 13.3.1 and section 13.2.3)"
13	granted	bool			"true if lock is held, false if lock is awaited"
14	fastpath	bool			"true if lock was taken via fast path, false if taken via main lock table"
15	waitstart	timestamptz			"time when the server process started waiting for this lock, or null if the lock is held. note that this can be null for a very short period of time after the wait started even though granted is false."
