Index	Name	Type	Nullable	References	Description
1	objoid	oid	true		<undocumented>
2	classoid	oid	true		<undocumented>
3	objsubid	integer	true		<undocumented>
4	objtype	text	true		<undocumented>
5	objnamespace	oid	true		<undocumented>
6	objname	text	true		<undocumented>
7	provider	text	true		<undocumented>
8	label	text	true		<undocumented>
for all other object types, this column is zero."
4	objtype	text	true		"the type of object to which this label applies, as text."
5	objnamespace	oid	true		"the oid of the namespace for this object, if applicable; otherwise null."
6	objname	text	true		"the name of the object to which this label applies, as text."
7	provider	text	true		"the label provider associated with this label."
8	label	text	true		"the security label applied to this object."
