Name	Type	References	Description
schemaname	name	pg_sequences.nspname	Name of schema containing sequence
sequencename	name	pg_sequences.relname	Name of sequence
sequenceowner	name	pg_sequences.rolname	Name of sequence's owner
data_type	regtype	pg_sequences.oid	Data type of the sequence
start_value	int8		Start value of the sequence
min_value	int8		Minimum value of the sequence
max_value	int8		Maximum value of the sequence
increment_by	int8		Increment value of the sequence
cycle	bool		Whether the sequence cycles
cache_size	int8		Cache size of the sequence
last_value	int8		The last sequence value written to disk. If caching is used, this value can be greater than the last value handed out from the sequence. Null if the sequence has not been read from yet. Also, if the current user does not have USAGE or SELECT privilege on the sequence, the value is null.
