Name	Type	References	Description
rolname	name		Role name
rolsuper	bool		Role has superuser privileges
rolinherit	bool		Role automatically inherits privileges of roles it is a member of
rolcreaterole	bool		Role can create more roles
rolcreatedb	bool		Role can create databases
rolcanlogin	bool		Role can log in. That is, this role can be given as the initial session authorization identifier
rolreplication	bool		Role is a replication role. A replication role can initiate replication connections and create and drop replication slots.
rolconnlimit	int4		For roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit.
rolpassword	text		Not the password (always reads as ********)
rolvaliduntil	timestamptz		Password expiry time (only used for password authentication); null if no expiration
rolbypassrls	bool		Role bypasses every row-level security policy, see Section 5.8 for more information.
rolconfig	text[]		Role-specific defaults for run-time configuration variables
oid	oid	pg_roles.oid	ID of role
