Index	Name	Type	Nullable	References	Description
0	aggfnoid	regproc			"pg_proc oid of the aggregate function"
1	aggkind	char			"aggregate kind: n for ""normal"" aggregates, o for ""ordered-set"" aggregates, or h for ""hypothetical-set"" aggregates"
2	aggnumdirectargs	int2			"number of direct (non-aggregated) arguments of an ordered-set or hypothetical-set aggregate, counting a variadic array as one argument. if equal to pronargs, the aggregate must be variadic and the variadic array describes the aggregated arguments as well as the final direct arguments. always zero for normal aggregates."
3	aggtransfn	regproc			"transition function"
4	aggfinalfn	regproc			"final function (zero if none)"
5	aggcombinefn	regproc			"combine function (zero if none)"
6	aggserialfn	regproc			"serialization function (zero if none)"
7	aggdeserialfn	regproc			"deserialization function (zero if none)"
8	aggmtransfn	regproc			"forward transition function for moving-aggregate mode (zero if none)"
9	aggminvtransfn	regproc			"inverse transition function for moving-aggregate mode (zero if none)"
10	aggmfinalfn	regproc			"final function for moving-aggregate mode (zero if none)"
11	aggfinalextra	bool			"true to pass extra dummy arguments to aggfinalfn"
12	aggmfinalextra	bool			"true to pass extra dummy arguments to aggmfinalfn"
13	aggfinalmodify	char			"whether aggfinalfn modifies the transition state value: r if it is read-only, s if the aggtransfn cannot be applied after the aggfinalfn, or w if it writes on the value"
14	aggmfinalmodify	char			"like aggfinalmodify, but for the aggmfinalfn"
15	aggsortop	oid			"associated sort operator (zero if none)"
16	aggtranstype	oid			"data type of the aggregate function's internal transition (state) data"
17	aggtransspace	int4			"approximate average size (in bytes) of the transition state data, or zero to use a default estimate"
18	aggmtranstype	oid			"data type of the aggregate function's internal transition (state) data for moving-aggregate mode (zero if none)"
19	aggmtransspace	int4			"approximate average size (in bytes) of the transition state data for moving-aggregate mode, or zero to use a default estimate"
20	agginitval	text			"the initial value of the transition state. this is a text field containing the initial value in its external string representation. if this field is null, the transition state value starts out null."
21	aggminitval	text			"the initial value of the transition state for moving-aggregate mode. this is a text field containing the initial value in its external string representation. if this field is null, the transition state value starts out null."
