0	rolname	NAME			"role name"
1	rolsuper	BOOL			"role has superuser privileges"
2	rolinherit	BOOL			"role automatically inherits privileges of roles it is a member of"
3	rolcreaterole	BOOL			"role can create more roles"
4	rolcreatedb	BOOL			"role can create databases"
5	rolcanlogin	BOOL			"role can log in. that is, this role can be given as the initial session authorization identifier"
6	rolreplication	BOOL			"role is a replication role. a replication role can initiate replication connections and create and drop replication slots."
7	rolconnlimit	INT4			"for roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit."
8	rolpassword	TEXT			"not the password (always reads as ********)"
9	rolvaliduntil	TIMESTAMPTZ			"password expiry time (only used for password authentication); null if no expiration"
10	rolbypassrls	BOOL			"role bypasses every row-level security policy, see section 5.8 for more information."
11	rolconfig	TEXT[]			"role-specific defaults for run-time configuration variables"
12	oid	OID			"id of role"
