Name	Type	References	Description
oprname	name	 	Name of the operator
oprowner	int4	pg_shadow.usesysid	Owner (creator) of the operator
oprprec	int2	 	unused
oprkind	char	 	"'b' = infix (""both""), 'l' = prefix (""left""), 'r' = postfix (""right"")"
oprisleft	bool	 	unused
oprcanhash	bool	 	This operator supports hash joins.
oprleft	oid	pg_type.oid	Type of the left operand
oprright	oid	pg_type.oid	Type of the right operand
oprresult	oid	pg_type.oid	Type of the result
oprcom	oid	pg_operator.oid	Commutator of this operator, if any
oprnegate	oid	pg_operator.oid	Negator of this operator, if any
oprlsortop	oid	pg_operator.oid	If this operator supports merge joins, the operator that sorts the type of the left-hand operand
oprrsortop	oid	pg_operator.oid	If this operator supports merge joins, the operator that sorts the type of the right-hand operand
oprcode	regproc	 	Function that implements this operator
oprrest	regproc	 	Restriction selectivity estimation function for this operator
oprjoin	regproc	 	Join selectivity estimation function for this operator
