Index	Name	Type	References	Description
0	datname	NAME			"database name"
1	datdba	INT4		pg_shadow.usesysid	"owner of the database, usually the user who created it"
2	encoding	INT4			"character encoding for this database"
3	datistemplate	BOOL			"if true then this database can be used in the template clause of create database to create a new database as a clone of this one."
4	datallowconn	BOOL			"if false then no one can connect to this database. this is used to protect the template0 database from being altered."
5	datlastsysoid	OID			"last system oid in the database; useful particularly to pg_dump"
6	datvacuumxid	XID			"all rows inserted or deleted by transaction ids before this one have been marked as known committed or known aborted in this database. this is used to determine when commit-log space can be recycled."
7	datfrozenxid	XID			"all rows inserted by transaction ids before this one have been relabeled with a permanent (""frozen"") transaction id in this database. this is useful to check whether a database must be vacuumed soon to avoid transaction id wrap-around problems."
8	datpath	TEXT			"if the database is stored at an alternative location then this records the location. it's either an environment variable name or an absolute path, depending how it was entered."
9	datconfig	TEXT[]			"session defaults for run-time configuration variables"
10	datacl	ACLITEM[]			"access privileges"
