Index	Name	Type	Nullable	References	Description
0	conname	name			"constraint name (not necessarily unique!)"
1	connamespace	oid		pg_namespace.oid	"the oid of the namespace that contains this constraint"
2	contype	char			"c = check constraint, f = foreign key constraint, p = primary key constraint, u = unique constraint"
3	condeferrable	bool			"is the constraint deferrable?"
4	condeferred	bool			"is the constraint deferred by default?"
5	conrelid	oid		pg_class.oid	"the table this constraint is on; 0 if not a table constraint"
6	contypid	oid		pg_type.oid	"the domain this constraint is on; 0 if not a domain constraint"
7	confrelid	oid		pg_class.oid	"if a foreign key, the referenced table; else 0"
8	confupdtype	char			"foreign key update action code"
9	confdeltype	char			"foreign key deletion action code"
10	confmatchtype	char			"foreign key match type"
11	conkey	int2[]		pg_attribute.attnum	"if a table constraint, list of columns which the constraint constrains"
12	confkey	int2[]		pg_attribute.attnum	"if a foreign key, list of the referenced columns"
13	conbin	text			"if a check constraint, an internal representation of the expression"
14	consrc	text			"if a check constraint, a human-readable representation of the expression"
