Index	Name	Type	References	Description
0	tgrelid	OID		pg_class.oid	"the table this trigger is on"
1	tgname	NAME			"trigger name (must be unique among triggers of same table)"
2	tgfoid	OID		pg_proc.oid	"the function to be called"
3	tgtype	INT2			"bit mask identifying trigger conditions"
4	tgenabled	BOOL			"true if trigger is enabled"
5	tgisconstraint	BOOL			"true if trigger implements a referential integrity constraint"
6	tgconstrname	NAME			"referential integrity constraint name"
7	tgconstrrelid	OID		pg_class.oid	"the table referenced by an referential integrity constraint"
8	tgdeferrable	BOOL			"true if deferrable"
9	tginitdeferred	BOOL			"true if initially deferred"
10	tgnargs	INT2			"number of argument strings passed to trigger function"
11	tgattr	INT2VECTOR			"currently unused"
12	tgargs	BYTEA			"argument strings to pass to trigger, each null-terminated"
