Name	Type	Description
rolname	name	Role name	 
rolsuper	bool	Role has superuser privileges	 
rolinherit	bool	Role automatically inherits privileges of roles it is\n a member of	 
rolcreaterole	bool	Role may create more roles	 
rolcreatedb	bool	Role may create databases	 
rolcatupdate	bool	Role may update system catalogs directly. (Even a\n superuser may not do this unless this column is true)	 
rolcanlogin	bool	Role may log in. That is, this role can be given as\n the initial session authorization identifier	 
rolconnlimit	int4	For roles that can log in, this sets maximum number\n of concurrent connections this role can make. -1 means no limit	 
rolpassword	text	Password (possibly encrypted); NULL if none	 
rolvaliduntil	timestamptz	Password expiry time (only used for password\n authentication); NULL if no expiration	 
rolconfig	text[]	Session defaults for run-time configuration\n variables	 
