Index	Name	Type	Nullable	References	Description
1	name	text			"run-time configuration parameter name"
2	setting	text			"current value of the parameter"
3	unit	text			"implicit unit of the parameter"
4	category	text			"logical group of the parameter"
5	short_desc	text			"a brief description of the parameter"
6	extra_desc	text			"additional, more detailed, information about the parameter"
7	context	text			"context required to set the parameter's value"
8	vartype	text			"parameter type (bool, integer, real, or string)"
9	source	text			"source of the current parameter value"
10	min_val	text			"minimum allowed value of the parameter (null for non-numeric values)"
11	max_val	text			"maximum allowed value of the parameter (null for non-numeric values)"
