Index	Name	Type	Nullable	References	Description
1	tgrelid	oid		pg_class.oid	"the table this trigger is on"
2	tgname	name			"trigger name (must be unique among triggers of same table)"
3	tgfoid	oid		pg_proc.oid	"the function to be called"
4	tgtype	int2			"bit mask identifying trigger conditions"
5	tgenabled	char			"controls in which session_replication_role modes the trigger fires. o = trigger fires in ""origin"" and ""local"" modes, d = trigger is disabled, r = trigger fires in ""replica"" mode, a = trigger fires always."
6	tgisconstraint	bool			"true if trigger is a ""constraint trigger"""
7	tgconstrname	name			"constraint name, if a constraint trigger"
8	tgconstrrelid	oid		pg_class.oid	"the table referenced by a referential integrity constraint"
9	tgconstraint	oid		pg_constraint.oid	"the pg_constraint entry owning the trigger, if any"
10	tgdeferrable	bool			"true if constraint trigger is deferrable"
11	tginitdeferred	bool			"true if constraint trigger is initially deferred"
12	tgnargs	int2			"number of argument strings passed to trigger function"
13	tgattr	int2vector			"currently unused"
14	tgargs	bytea			"argument strings to pass to trigger, each null-terminated"
