Index	Name	Type	References	Description
0	oprname	NAME			"name of the operator"
1	oprnamespace	OID		pg_namespace.oid	"the oid of the namespace that contains this operator"
2	oprowner	OID		pg_authid.oid	"owner of the operator"
3	oprkind	CHAR			"b = infix (""both""), l = prefix (""left""), r = postfix (""right"")"
4	oprcanmerge	BOOL			"this operator supports merge joins"
5	oprcanhash	BOOL			"this operator supports hash joins"
6	oprleft	OID		pg_type.oid	"type of the left operand"
7	oprright	OID		pg_type.oid	"type of the right operand"
8	oprresult	OID		pg_type.oid	"type of the result"
9	oprcom	OID		pg_operator.oid	"commutator of this operator, if any"
10	oprnegate	OID		pg_operator.oid	"negator of this operator, if any"
11	oprcode	REGPROC		pg_proc.oid	"function that implements this operator"
12	oprrest	REGPROC		pg_proc.oid	"restriction selectivity estimation function for this operator"
13	oprjoin	REGPROC		pg_proc.oid	"join selectivity estimation function for this operator"
