Index	Name	Type	References	Description
0	locktype	TEXT			"type of the lockable object: relation, extend, page, tuple, transactionid, virtualxid, object, userlock, or advisory"
1	database	OID		pg_database.oid	"oid of the database in which the object exists, or zero if the object is a shared object, or null if the object is a transaction id"
2	relation	OID		pg_class.oid	"oid of the relation, or null if the object is not a relation or part of a relation"
3	page	INTEGER			"page number within the relation, or null if the object is not a tuple or relation page"
4	tuple	SMALLINT			"tuple number within the page, or null if the object is not a tuple"
5	virtualxid	TEXT			"virtual id of a transaction, or null if the object is not a virtual transaction id"
6	transactionid	XID			"id of a transaction, or null if the object is not a transaction id"
7	classid	OID		pg_class.oid	"oid of the system catalog containing the object, or null if the object is not a general database object"
8	objid	OID		"any oid column"	"oid of the object within its system catalog, or null if the object is not a general database object"
9	objsubid	SMALLINT			"for a table column, this is the column number (the classid and objid refer to the table itself). for all other object types, this column is zero. null if the object is not a general database object"
10	virtualtransaction	TEXT			"virtual id of the transaction that is holding or awaiting this lock"
11	pid	INTEGER			"process id of the server process holding or awaiting this lock. null if the lock is held by a prepared transaction."
12	mode	TEXT			"name of the lock mode held or desired by this process (see section 13.3.1)"
13	granted	BOOLEAN			"true if lock is held, false if lock is awaited"
