Name	Type	References	Description
locktype	text	 	Type of the lockable object: relation, extend, page, tuple, transactionid, virtualxid, object, userlock, or advisory
database	oid	pg_database.oid	OID of the database in which the object exists, or zero if the object is a shared object, or null if the object is a transaction ID
relation	oid	pg_class.oid	OID of the relation, or null if the object is not a relation or part of a relation
page	integer	 	Page number within the relation, or null if the object is not a tuple or relation page
tuple	smallint	 	Tuple number within the page, or null if the object is not a tuple
virtualxid	text	 	Virtual ID of a transaction, or null if the object is not a virtual transaction ID
transactionid	xid	 	ID of a transaction, or null if the object is not a transaction ID
classid	oid	pg_class.oid	OID of the system catalog containing the object, or null if the object is not a general database object
objid	oid	any OID column	OID of the object within its system catalog, or null if the object is not a general database object
objsubid	smallint	 	Column number targeted by the lock (the classid and objid refer to the table itself), or zero if the target is some other general database object, or null if the target is not a general database object
virtualtransaction	text	 	Virtual ID of the transaction that is holding or awaiting this lock
pid	integer	 	Process ID of the server process holding or awaiting this lock, or null if the lock is held by a prepared transaction
mode	text	 	Name of the lock mode held or desired by this process (see Section 13.3.1 and Section 13.2.3)
granted	boolean	 	True if lock is held, false if lock is awaited
