Name	Type	References	Description
oid	oid	 	Row identifier (hidden attribute; must be explicitly\nselected)
relname	name	 	Name of the table, index, view, etc.
relnamespace	oid	pg_namespace.oid	The OID of the namespace that contains this relation
reltype	oid	pg_type.oid	The OID of the data type that corresponds to this table's row\ntype, if any (zero for indexes, which have no pg_type entry)
reloftype	oid	pg_type.oid	For typed tables, the OID of the underlying composite type,\nzero for all other relations
relowner	oid	pg_authid.oid	Owner of the relation
relam	oid	pg_am.oid	If this is an index, the access method used (B-tree, hash,\netc.)
relfilenode	oid	 	Name of the on-disk file of this relation; zero means this is a\n"mapped" relation whose disk file name is determined by low-level state
reltablespace	oid	pg_tablespace.oid	The tablespace in which this relation is stored. If zero, the\ndatabase's default tablespace is implied. (Not meaningful if the relation has no on-disk file.)
relpages	int4	 	Size of the on-disk representation of this table in pages (of\nsize BLCKSZ). This is only an estimate used by the planner. It is updated by VACUUM, ANALYZE, and a few DDL commands such as CREATE INDEX.
reltuples	float4	 	Number of rows in the table. This is only an estimate used by\nthe planner. It is updated by VACUUM, ANALYZE, and a few DDL commands such as CREATE INDEX.
relallvisible	int4	 	Number of pages that are marked all-visible in the table's\nvisibility map. This is only an estimate used by the planner. It is updated by VACUUM, ANALYZE, and a few DDL commands such as CREATE INDEX.
reltoastrelid	oid	pg_class.oid	OID of the TOAST table associated with this table, 0 if none.\nThe TOAST table stores large attributes "out of line" in a secondary table.
reltoastidxid	oid	pg_class.oid	For a TOAST table, the OID of its index. 0 if not a TOAST\ntable.
relhasindex	bool	 	True if this is a table and it has (or recently had) any\nindexes
relisshared	bool	 	True if this table is shared across all databases in the\ncluster. Only certain system catalogs (such as pg_database) are shared.
relpersistence	char	 	p = permanent table, u = unlogged table, t =\ntemporary table
relkind	char	 	r = ordinary table, i = index, S = sequence,\nv = view, m = materialized view, c = composite type, t = TOAST table, f = foreign table
relnatts	int2	 	Number of user columns in the relation (system columns not\ncounted). There must be this many corresponding entries in pg_attribute. See also pg_attribute.attnum.
relchecks	int2	 	Number of CHECK constraints on the\ntable; see pg_constraint catalog
relhasoids	bool	 	True if we generate an OID for each row of the relation
relhaspkey	bool	 	True if the table has (or once had) a primary key
relhasrules	bool	 	True if table has (or once had) rules; see pg_rewrite catalog
relhastriggers	bool	 	True if table has (or once had) triggers; see pg_trigger catalog
relhassubclass	bool	 	True if table has (or once had) any inheritance children
relispopulated	bool	 	True if relation is populated (this is true for all relations\nother than some materialized views)
relfrozenxid	xid	 	All transaction IDs before this one have been replaced with a\npermanent ("frozen") transaction ID in this table. This is used to track whether the table needs to be vacuumed in order to prevent transaction ID wraparound or to allow pg_clog to be shrunk. Zero (InvalidTransactionId) if the relation is not a table.
relminmxid	xid	 	All multixact IDs before this one have been replaced by a\ntransaction ID in this table. This is used to track whether the table needs to be vacuumed in order to prevent multixact ID wraparound or to allow pg_multixact to be shrunk. Zero (InvalidMultiXactId) if the relation is not a table.
relacl	aclitem[]	 	Access privileges; see GRANT and\nREVOKE for details
reloptions	text[]	 	Access-method-specific options, as "keyword=value" strings
