Index	Name	Type	Nullable	References	Description
1	schemaname	name	true		<undocumented>
2	matviewname	name	true		<undocumented>
3	matviewowner	name	true		<undocumented>
4	tablespace	name	true		<undocumented>
5	hasindexes	boolean	true		<undocumented>
6	ispopulated	boolean	true		<undocumented>
7	definition	text	true		<undocumented>
base)"
5	hasindexes	bool	true		"true if materialized view has (or recently had) any indexes"
6	ispopulated	bool	true		"true if materialized view is currently populated"
7	definition	text	true		"materialized view definition (a reconstructed select query)"
