Index	Name	Type	Nullable	References	Description
1	aggfnoid	regproc		pg_proc.oid	"pg_proc oid of the aggregate function"
2	aggkind	char			"aggregate kind: n for ""normal"" aggregates, o for ""ordered-set"" aggregates, or h for ""hypothetical-set"" aggregates"
3	aggnumdirectargs	int2			"number of direct (non-aggregated) arguments of an ordered-set or hypothetical-set aggregate, counting a variadic array as one argument. if equal to pronargs, the aggregate must be variadic and the variadic array describes the aggregated arguments as well as the final direct arguments. always zero for normal aggregates."
4	aggtransfn	regproc		pg_proc.oid	"transition function"
5	aggfinalfn	regproc		pg_proc.oid	"final function (zero if none)"
6	aggmtransfn	regproc		pg_proc.oid	"forward transition function for moving-aggregate mode (zero if none)"
7	aggminvtransfn	regproc		pg_proc.oid	"inverse transition function for moving-aggregate mode (zero if none)"
8	aggmfinalfn	regproc		pg_proc.oid	"final function for moving-aggregate mode (zero if none)"
9	aggfinalextra	bool			"true to pass extra dummy arguments to aggfinalfn"
10	aggmfinalextra	bool			"true to pass extra dummy arguments to aggmfinalfn"
11	aggsortop	oid		pg_operator.oid	"associated sort operator (zero if none)"
12	aggtranstype	oid		pg_type.oid	"data type of the aggregate function's internal transition (state) data"
13	aggtransspace	int4			"approximate average size (in bytes) of the transition state data, or zero to use a default estimate"
14	aggmtranstype	oid		pg_type.oid	"data type of the aggregate function's internal transition (state) data for moving-aggregate mode (zero if none)"
15	aggmtransspace	int4			"approximate average size (in bytes) of the transition state data for moving-aggregate mode, or zero to use a default estimate"
16	agginitval	text			"the initial value of the transition state. this is a text field containing the initial value in its external string representation. if this field is null, the transition state value starts out null."
17	aggminitval	text			"the initial value of the transition state for moving-aggregate mode. this is a text field containing the initial value in its external string representation. if this field is null, the transition state value starts out null."
