Index	Name	Type	Nullable	References	Description
1	oid	oid			"row identifier (hidden attribute; must be explicitly selected)"
2	oprname	name			"name of the operator"
3	oprnamespace	oid		pg_namespace.oid	"the oid of the namespace that contains this operator"
4	oprowner	oid		pg_authid.oid	"owner of the operator"
5	oprkind	char			"b = infix (""both""), l = prefix (""left""), r = postfix (""right"")"
6	oprcanmerge	bool			"this operator supports merge joins"
7	oprcanhash	bool			"this operator supports hash joins"
8	oprleft	oid		pg_type.oid	"type of the left operand"
9	oprright	oid		pg_type.oid	"type of the right operand"
10	oprresult	oid		pg_type.oid	"type of the result"
11	oprcom	oid		pg_operator.oid	"commutator of this operator, if any"
12	oprnegate	oid		pg_operator.oid	"negator of this operator, if any"
13	oprcode	regproc		pg_proc.oid	"function that implements this operator"
14	oprrest	regproc		pg_proc.oid	"restriction selectivity estimation function for this operator"
15	oprjoin	regproc		pg_proc.oid	"join selectivity estimation function for this operator"
