Index	Name	Type	Nullable	References	Description
0	slot_name	name			"a unique, cluster-wide identifier for the replication slot"
1	plugin	name			"the base name of the shared object containing the output plugin this logical slot is using, or null for physical slots."
2	slot_type	text			"the slot type - physical or logical"
3	datoid	oid		pg_database.oid	"the oid of the database this slot is associated with, or null. only logical slots have an associated database."
4	database	text		pg_database.datname	"the name of the database this slot is associated with, or null. only logical slots have an associated database."
5	active	boolean			"true if this slot is currently actively being used"
6	active_pid	integer			"the process id of the session using this slot if the slot is currently actively being used. null if inactive."
7	xmin	xid			"the oldest transaction that this slot needs the database to retain. vacuum cannot remove tuples deleted by any later transaction."
8	catalog_xmin	xid			"the oldest transaction affecting the system catalogs that this slot needs the database to retain. vacuum cannot remove catalog tuples deleted by any later transaction."
9	restart_lsn	pg_lsn			"the address (lsn) of oldest wal which still might be required by the consumer of this slot and thus won't be automatically removed during checkpoints."
