Index	Name	Type	Nullable	References	Description
0	oid	OID			"row identifier (hidden attribute; must be explicitly selected)"
1	rolname	NAME			"role name"
2	rolsuper	BOOL			"role has superuser privileges"
3	rolinherit	BOOL			"role automatically inherits privileges of roles it is a member of"
4	rolcreaterole	BOOL			"role can create more roles"
5	rolcreatedb	BOOL			"role can create databases"
6	rolcanlogin	BOOL			"role can log in. that is, this role can be given as the initial session authorization identifier."
7	rolreplication	BOOL			"role is a replication role. a replication role can initiate replication connections and create and drop replication slots."
8	rolbypassrls	BOOL			"role bypasses every row level security policy, see section 5.7 for more information."
9	rolconnlimit	INT4			"for roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit."
10	rolpassword	TEXT			"password (possibly encrypted); null if none. if the password is encrypted, this column will begin with the string md5 followed by a 32-character hexadecimal md5 hash. the md5 hash will be of the user's password concatenated to their user name. for example, if user joe has password xyzzy, postgresql will store the md5 hash of xyzzyjoe. a password that does not follow that format is assumed to be unencrypted."
11	rolvaliduntil	TIMESTAMPTZ			"password expiry time (only used for password authentication); null if no expiration"
