Index	Name	Type	Nullable	References	Description
1	name	text	true		<undocumented>
2	setting	text	true		<undocumented>
3	unit	text	true		<undocumented>
4	category	text	true		<undocumented>
5	short_desc	text	true		<undocumented>
6	extra_desc	text	true		<undocumented>
7	context	text	true		<undocumented>
8	vartype	text	true		<undocumented>
9	source	text	true		<undocumented>
10	min_val	text	true		<undocumented>
11	max_val	text	true		<undocumented>
12	enumvals	text[]	true		<undocumented>
13	boot_val	text	true		<undocumented>
14	reset_val	text	true		<undocumented>
15	sourcefile	text	true		<undocumented>
16	sourceline	integer	true		<undocumented>
17	pending_restart	boolean	true		<undocumented>
ll for non-numeric values)"
11	max_val	text	true		"maximum allowed value of the parameter (null for non-numeric values)"
12	enumvals	text[]	true		"allowed values of an enum parameter (null for non-enum values)"
13	boot_val	text	true		"parameter value assumed at server startup if the parameter is not otherwise set"
14	reset_val	text	true		"value that reset would reset the parameter to in the current session"
15	sourcefile	text	true		"configuration file the current value was set in (null for values set from sources other than configuration files, or when examined by a non-superuser); helpful when using include directives in configuration files"
16	sourceline	int4	true		"line number within the configuration file the current value was set at (null for values set from sources other than configuration files, or when examined by a non-superuser)"
17	pending_restart	bool	true		"true if the value has been changed in the configuration file but needs a restart; or false otherwise."
