Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
oid	oid	false		"row identifier (hidden attribute; must be explicitly selected)"
ctid	tid	false		
opcmethod	oid	false	pg_am.oid	"index access method operator class is for"
opcname	name	false		"name of this operator class"
opcnamespace	oid	false	pg_namespace.oid	"namespace of this operator class"
opcowner	oid	false	pg_authid.oid	"owner of the operator class"
opcfamily	oid	false	pg_opfamily.oid	"operator family containing the operator class"
opcintype	oid	false	pg_type.oid	"data type that the operator class indexes"
opcdefault	bool	false		"true if this operator class is the default for opcintype"
opckeytype	oid	false	pg_type.oid	"type of data stored in index, or zero if same as opcintype"
