Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
objoid	oid	false	"any oid column"	"the oid of the specific object"
classoid	oid	false	pg_class.oid	"the oid of the system catalog the object is in"
objsubid	int4	false		"for a table column, this is the column number (the objoid and classoid refer to the table itself). for all other object types, this column is zero."
privtype	char	false		"a code defining the type of initial privilege of this object; see text"
initprivs	aclitem[]	false		"the initial access privileges; see grant and revoke for details"
