Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
oid	oid	false		"row identifier (hidden attribute; must be explicitly selected)"
ctid	tid	false		
cfgname	name	false		"text search configuration name"
cfgnamespace	oid	false	pg_namespace.oid	"the oid of the namespace that contains this configuration"
cfgowner	oid	false	pg_authid.oid	"owner of the configuration"
cfgparser	oid	false	pg_ts_parser.oid	"the oid of the text search parser for this configuration"
