Name	Type	Nullable	References	Description
pid	int4	true		
usesysid	oid	true		
usename	name	true		
application_name	text	true		
client_addr	inet	true		
client_hostname	text	true		
client_port	int4	true		
backend_start	timestamptz	true		
backend_xmin	xid	true		
state	text	true		
sent_lsn	pg_lsn	true		
write_lsn	pg_lsn	true		
flush_lsn	pg_lsn	true		
replay_lsn	pg_lsn	true		
write_lag	interval	true		
flush_lag	interval	true		
replay_lag	interval	true		
sync_priority	int4	true		
sync_state	text	true		
