Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
oid	oid	false		"row identifier"
amprocfamily	oid	false	pg_opfamily.oid	"the operator family this entry is for"
amproclefttype	oid	false	pg_type.oid	"left-hand input data type of associated operator"
amprocrighttype	oid	false	pg_type.oid	"right-hand input data type of associated operator"
amprocnum	int2	false		"support function number"
amproc	regproc	false	pg_proc.oid	"oid of the function"
