Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
oid	oid	false		"row identifier"
srvname	name	false		"name of the foreign server"
srvowner	oid	false	pg_authid.oid	"owner of the foreign server"
srvfdw	oid	false	pg_foreign_data_wrapper.oid	"oid of the foreign-data wrapper of this foreign server"
srvtype	text	true		"type of the server (optional)"
srvversion	text	true		"version of the server (optional)"
srvacl	aclitem[]	true		"access privileges"
srvoptions	text[]	true		"foreign server specific options, as ""keyword=value"" strings"
