schemaname	name	true	pg_namespace.nspname	"name of schema containing sequenc"
sequencename	name	true	pg_class.relname	"name of sequenc"
sequenceowner	name	true	pg_authid.rolname	"name of sequence's owne"
data_type	regtype	true	pg_type.oid	"data type of the sequenc"
start_value	int8	true		"start value of the sequenc"
min_value	int8	true		"minimum value of the sequenc"
max_value	int8	true		"maximum value of the sequenc"
increment_by	int8	true		"increment value of the sequenc"
cycle	bool	true		"whether the sequence cycle"
cache_size	int8	true		"cache size of the sequenc"
last_value	int8	true		"the last sequence value written to disk. if caching is used, this value can be greater than the last value handed out from the sequence. null if the sequence has not been read from yet. also, if the current user does not have usage or select privilege on the sequence, the value is null"
