Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
oid	oid	false		"row identifier"
lanname	name	false		"name of the language"
lanowner	oid	false		"owner of the language"
lanispl	bool	false		"this is false for internal languages (such as sql) and true for user-defined languages. currently, pg_dump still uses this to determine which languages need to be dumped, but this might be replaced by a different mechanism in the future."
lanpltrusted	bool	false		"true if this is a trusted language, which means that it is believed not to grant access to anything outside the normal sql execution environment. only superusers can create functions in untrusted languages."
lanplcallfoid	oid	false		"for noninternal languages this references the language handler, which is a special function that is responsible for executing all functions that are written in the particular language"
laninline	oid	false		"this references a function that is responsible for executing ""inline"" anonymous code blocks (do blocks). zero if inline blocks are not supported."
lanvalidator	oid	false		"this references a language validator function that is responsible for checking the syntax and validity of new functions when they are created. zero if no validator is provided."
lanacl	aclitem[]	true		"access privileges"
