Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
rngtypid	oid	false		"oid of the range type"
rngsubtype	oid	false		"oid of the element type (subtype) of this range type"
rngcollation	oid	false		"oid of the collation used for range comparisons, or 0 if none"
rngsubopc	oid	false		"oid of the subtype's operator class used for range comparisons"
rngcanonical	regproc	false		"oid of the function to convert a range value into canonical form, or 0 if none"
rngsubdiff	regproc	false		"oid of the function to return the difference between two element values as double precision, or 0 if none"
