Name	Type	Nullable	References	Description
relid	oid	true		
schemaname	name	true		
relname	name	true		
seq_scan	int8	true		
seq_tup_read	int8	true		
idx_scan	int8	true		
idx_tup_fetch	int8	true		
n_tup_ins	int8	true		
n_tup_upd	int8	true		
n_tup_del	int8	true		
n_tup_hot_upd	int8	true		
n_live_tup	int8	true		
n_dead_tup	int8	true		
n_mod_since_analyze	int8	true		
n_ins_since_vacuum	int8	true		
last_vacuum	timestamptz	true		
last_autovacuum	timestamptz	true		
last_analyze	timestamptz	true		
last_autoanalyze	timestamptz	true		
vacuum_count	int8	true		
autovacuum_count	int8	true		
analyze_count	int8	true		
autoanalyze_count	int8	true		
