Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
inhrelid	oid	false		"the oid of the child table or index"
inhparent	oid	false		"the oid of the parent table or index"
inhseqno	int4	false		"if there is more than one direct parent for a child table (multiple inheritance), this number tells the order in which the inherited columns are to be arranged. the count starts at 1.indexes cannot have multiple inheritance, since they can only inherit when using declarative partitioning."
inhdetachpending	bool	false		"true for a partition that is in the process of being detached; false otherwise."
