Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
oid	oid	false		"row identifier"
oprname	name	false		"name of the operator"
oprnamespace	oid	false		"the oid of the namespace that contains this operator"
oprowner	oid	false		"owner of the operator"
oprkind	char	false		"b = infix operator (""both""), or l = prefix operator (""left"")"
oprcanmerge	bool	false		"this operator supports merge joins"
oprcanhash	bool	false		"this operator supports hash joins"
oprleft	oid	false		"type of the left operand (zero for a prefix operator)"
oprright	oid	false		"type of the right operand"
oprresult	oid	false		"type of the result (zero for a not-yet-defined ""shell"" operator)"
oprcom	oid	false		"commutator of this operator (zero if none)"
oprnegate	oid	false		"negator of this operator (zero if none)"
oprcode	regproc	false		"function that implements this operator (zero for a not-yet-defined ""shell"" operator)"
oprrest	regproc	false		"restriction selectivity estimation function for this operator (zero if none)"
oprjoin	regproc	false		"join selectivity estimation function for this operator (zero if none)"
