Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
dbid	oid	false		"the oid of the database the dependent object is in, or zero for a shared object or a shared_dependency_pin entry"
classid	oid	false		"the oid of the system catalog the dependent object is in, or zero for a shared_dependency_pin entry"
objid	oid	false		"the oid of the specific dependent object, or zero for a shared_dependency_pin entry"
objsubid	int4	false		"for a table column, this is the column number (the objid and classid refer to the table itself). for all other object types, this column is zero."
refclassid	oid	false		"the oid of the system catalog the referenced object is in (must be a shared catalog)"
refobjid	oid	false		"the oid of the specific referenced object"
deptype	char	false		"a code defining the specific semantics of this dependency relationship; see text"
