Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
oid	oid	false		"row identifier"
dictname	name	false		"text search dictionary name"
dictnamespace	oid	false		"the oid of the namespace that contains this dictionary"
dictowner	oid	false		"owner of the dictionary"
dicttemplate	oid	false		"the oid of the text search template for this dictionary"
dictinitoption	text	true		"initialization option string for the template"
