locktype	text	true		"type of the lockable object: relation, extend, frozenid, page, tuple, transactionid, virtualxid, spectoken, object, userlock, or advisory. (see also table 28.11."
database	oid	true		"oid of the database in which the lock target exists, or zero if the target is a shared object, or null if the target is a transaction i"
relation	oid	true		"oid of the relation targeted by the lock, or null if the target is not a relation or part of a relatio"
page	int4	true		"page number targeted by the lock within the relation, or null if the target is not a relation page or tupl"
tuple	int2	true		"tuple number targeted by the lock within the page, or null if the target is not a tupl"
virtualxid	text	true		"virtual id of the transaction targeted by the lock, or null if the target is not a virtual transaction i"
transactionid	xid	true		"id of the transaction targeted by the lock, or null if the target is not a transaction i"
classid	oid	true		"oid of the system catalog containing the lock target, or null if the target is not a general database objec"
objid	oid	true		"oid of the lock target within its system catalog, or null if the target is not a general database objec"
objsubid	int2	true		"column number targeted by the lock (the classid and objid refer to the table itself), or zero if the target is some other general database object, or null if the target is not a general database objec"
virtualtransaction	text	true		"virtual id of the transaction that is holding or awaiting this loc"
pid	int4	true		"process id of the server process holding or awaiting this lock, or null if the lock is held by a prepared transactio"
mode	text	true		"name of the lock mode held or desired by this proces"
granted	bool	true		"true if lock is held, false if lock is awaite"
fastpath	bool	true		"true if lock was taken via fast path, false if taken via main lock tabl"
waitstart	timestamptz	true		"time when the server process started waiting for this lock, or null if the lock is held. note that this can be null for a very short period of time after the wait started even though granted is false"
