Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
stxoid	oid	false		"extended statistics object containing the definition for this data"
stxdinherit	bool	false		"if true, the stats include values from child tables, not just the values in the specified relation"
stxdndistinct	pg_ndistinct	true		"n-distinct counts, serialized as pg_ndistinct type"
stxddependencies	pg_dependencies	true		"functional dependency statistics, serialized as pg_dependencies type"
stxdmcv	pg_mcv_list	true		"mcv (most-common values) list statistics, serialized as pg_mcv_list type"
stxdexpr	pg_statistic[]	true		"per-expression statistics, serialized as an array of pg_statistic type"
