Name	Type	Nullable	References	Description
rolname	name	true		"role name"
rolsuper	bool	true		"role has superuser privileges"
rolinherit	bool	true		"role automatically inherits privileges of roles it is a member of"
rolcreaterole	bool	true		"role can create more roles"
rolcreatedb	bool	true		"role can create databases"
rolcanlogin	bool	true		"role can log in. that is, this role can be given as the initial session authorization identifier"
rolreplication	bool	true		"role is a replication role. a replication role can initiate replication connections and create and drop replication slots."
rolconnlimit	int4	true		"for roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit."
rolpassword	text	true		"not the password (always reads as ********)"
rolvaliduntil	timestamptz	true		"password expiry time (only used for password authentication); null if no expiration"
rolbypassrls	bool	true		"role bypasses every row-level security policy"
rolconfig	text[]	true		"role-specific defaults for run-time configuration variables"
oid	oid	true		"id of role"
