Name	Type	Nullable	References	Description
conbin	text			"if a check constraint, an internal representation of the expression"
condeferrable	bool			"is the constraint deferrable?"
condeferred	bool			"is the constraint deferred by default?"
confdeltype	char			"foreign key deletion action code"
confkey	int2[]		pg_attribute.attnum	"if a foreign key, list of the referenced columns"
confmatchtype	char			"foreign key match type"
confrelid	oid		pg_class.oid	"if a foreign key, the referenced table; else 0"
confupdtype	char			"foreign key update action code"
conkey	int2[]		pg_attribute.attnum	"if a table constraint, list of columns which the constraint constrains"
conname	name			"constraint name (not necessarily unique!)"
connamespace	oid		pg_namespace.oid	"the oid of the namespace that contains this constraint"
conrelid	oid		pg_class.oid	"the table this constraint is on; 0 if not a table constraint"
consrc	text			"if a check constraint, a human-readable representation of the expression"
contype	char			"'c' = check constraint, 'f' = foreign key constraint, 'p' = primary key constraint, 'u' = unique constraint"
contypid	oid		pg_type.oid	"the domain this constraint is on; 0 if not a domain constraint"
