Name	Type	Nullable	References	Description
tgargs	bytea			"argument strings to pass to trigger, each null-terminated"
tgattr	int2vector			"currently unused"
tgconstrname	name			"ri constraint name"
tgconstrrelid	oid		pg_class.oid	"the table referenced by an ri constraint"
tgdeferrable	bool			"true if deferrable"
tgenabled	bool			"true if trigger is enabled (not presently checked everywhere it should be, so disabling a trigger by setting this false does not work reliably)"
tgfoid	oid		pg_proc.oid	"the function to be called"
tginitdeferred	bool			"true if initially deferred"
tgisconstraint	bool			"true if trigger implements an ri constraint"
tgname	name			"trigger name (must be unique among triggers of same table)"
tgnargs	int2			"number of argument strings passed to trigger function"
tgrelid	oid		pg_class.oid	"the table this trigger is on"
tgtype	int2			"bitmask identifying trigger conditions"
