Name	Type	Nullable	References	Description
datacl	aclitem[]			"access privileges"
datallowconn	bool			"if false then no one can connect to this database. this is used to protect the template0 database from being altered."
datconfig	text[]			"session defaults for run-time configuration variables"
datdba	int4		pg_shadow.usesysid	"owner of the database, usually the user who created it"
datfrozenxid	xid			"all rows inserted by transaction ids before this one have been relabeled with a permanent (""frozen"") transaction id in this database. this is useful to check whether a database must be vacuumed soon to avoid transaction id wrap-around problems."
datistemplate	bool			"if true then this database can be used in the template clause of create database to create a new database as a clone of this one."
datlastsysoid	oid			"last system oid in the database; useful particularly to pg_dump"
datname	name			"database name"
datpath	text			"if the database is stored at an alternative location then this records the location. it's either an environment variable name or an absolute path, depending how it was entered."
datvacuumxid	xid			"all rows inserted or deleted by transaction ids before this one have been marked as known committed or known aborted in this database. this is used to determine when commit-log space can be recycled."
encoding	int4			"character encoding for this database"
