Name	Type	Nullable	References	Description
category	text			"logical group of the parameter"
context	text			"context required to set the parameter's value"
extra_desc	text			"additional, more detailed, information about the parameter"
max_val	text			"maximum allowed value of the parameter (null for nonnumeric values)"
min_val	text			"minimum allowed value of the parameter (null for nonnumeric values)"
name	text			"run-time configuration parameter name"
setting	text			"current value of the parameter"
short_desc	text			"a brief description of the parameter"
source	text			"source of the current parameter value"
vartype	text			"parameter type (bool, integer, real, or string)"
