Name	Type	Nullable	References	Description
tgargs	bytea			"argument strings to pass to trigger, each null-terminated"
tgattr	int2vector		pg_attribute.attnum	"column numbers, if trigger is column-specific; otherwise an empty array"
tgconstraint	oid		pg_constraint.oid	"the pg_constraint entry associated with the trigger, if any"
tgconstrindid	oid		pg_class.oid	"the index supporting a unique, primary key, or referential integrity constraint"
tgconstrrelid	oid		pg_class.oid	"the table referenced by a referential integrity constraint"
tgdeferrable	bool			"true if constraint trigger is deferrable"
tgenabled	char			"controls in which session_replication_role modes the trigger fires. o = trigger fires in ""origin"" and ""local"" modes, d = trigger is disabled, r = trigger fires in ""replica"" mode, a = trigger fires always."
tgfoid	oid		pg_proc.oid	"the function to be called"
tginitdeferred	bool			"true if constraint trigger is initially deferred"
tgisinternal	bool			"true if trigger is internally generated (usually, to enforce the constraint identified by tgconstraint)"
tgname	name			"trigger name (must be unique among triggers of same table)"
tgnargs	int2			"number of argument strings passed to trigger function"
tgqual	pg_node_tree			"expression tree (in nodetostring() representation) for the trigger's when condition, or null if none"
tgrelid	oid		pg_class.oid	"the table this trigger is on"
tgtype	int2			"bit mask identifying trigger firing conditions"
