Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
oid	oid	false		"row identifier (hidden attribute; must be explicitly selected)"
ctid	tid	false		
prsname	name	false		"text search parser name"
prsnamespace	oid	false	pg_namespace.oid	"the oid of the namespace that contains this parser"
prsstart	regproc	false	pg_proc.oid	"oid of the parser's startup function"
prstoken	regproc	false	pg_proc.oid	"oid of the parser's next-token function"
prsend	regproc	false	pg_proc.oid	"oid of the parser's shutdown function"
prsheadline	regproc	false	pg_proc.oid	"oid of the parser's headline function"
prslextype	regproc	false	pg_proc.oid	"oid of the parser's lextype function"
