Name	Type	Nullable	References	Description
locktype	text	true		"type of the lockable object: relation, extend, page, tuple, transactionid, virtualxid, object, userlock, or advisory"
database	oid	true	pg_database.oid	"oid of the database in which the lock target exists, or zero if the target is a shared object, or null if the target is a transaction id"
relation	oid	true	pg_class.oid	"oid of the relation targeted by the lock, or null if the target is not a relation or part of a relation"
page	int4	true		"page number targeted by the lock within the relation, or null if the target is not a relation page or tuple"
tuple	int2	true		"tuple number targeted by the lock within the page, or null if the target is not a tuple"
virtualxid	text	true		"virtual id of the transaction targeted by the lock, or null if the target is not a virtual transaction id"
transactionid	xid	true		"id of the transaction targeted by the lock, or null if the target is not a transaction id"
classid	oid	true	pg_class.oid	"oid of the system catalog containing the lock target, or null if the target is not a general database object"
objid	oid	true	"any oid column"	"oid of the lock target within its system catalog, or null if the target is not a general database object"
objsubid	int2	true		"column number targeted by the lock (the classid and objid refer to the table itself), or zero if the target is some other general database object, or null if the target is not a general database object"
virtualtransaction	text	true		"virtual id of the transaction that is holding or awaiting this lock"
pid	int4	true		"process id of the server process holding or awaiting this lock, or null if the lock is held by a prepared transaction"
mode	text	true		"name of the lock mode held or desired by this process"
granted	bool	true		"true if lock is held, false if lock is awaited"
fastpath	bool	true		"true if lock was taken via fast path, false if taken via main lock table"
